attracted,wavelength,individual,species,date,temperature
1,680,C8,Castiarina_dimidiata,2019_02_04,29.65
1,700,C8,Castiarina_dimidiata,2019_02_04,29.9
0,720,C8,Castiarina_dimidiata,2019_02_04,30.15
0,735,C8,Castiarina_dimidiata,2019_02_04,30.05
1,590,C9,Castiarina_dimidiata,2019_02_04,29.5
1,645,C9,Castiarina_dimidiata,2019_02_04,30.45
0,680,C9,Castiarina_dimidiata,2019_02_04,29.65
0,700,C9,Castiarina_dimidiata,2019_02_04,29.9
0,720,C9,Castiarina_dimidiata,2019_02_04,30.15
0,735,C9,Castiarina_dimidiata,2019_02_04,30.05
