wl,flower_Chorizema cordatum_orange_1,flower_Chorizema cordatum_orange_2,flower_Chorizema cordatum_orange_3,flower_Olearia homolepis_1,flower_Olearia homolepis_2,flower_Olearia homolepis_3,flower_Chamelaucium uncinatum_1,flower_Chamelaucium uncinatum_2,flower_Chamelaucium uncinatum_3,flower_Senna artemisioides_1,flower_Senna artemisioides_2,flower_Senna artemisioides_3,flower_Eremophila maculata_1,flower_Eremophila maculata_2,flower_Eremophila maculata_3,flower_Leptospermum liversidgei_1,flower_Leptospermum liversidgei_2,flower_Leptospermum liversidgei_3,leaves_Gastrolobium bilobus_1,leaves_Gastrolobium bilobus_2,leaves_Gastrolobium bilobus_3
365,38.12801269,38.571271,39.22606115,15.07056656,18.30066645,14.593094,3.680000541,4.701887696,9.826384748,24.64180561,21.88815844,21.51803991,7.571639626,8.906200471,8.27748778,9.179552437,10.71237441,12.48509017,6.875746135,7.114662169,6.831591318
370,35.4684882,35.77051034,36.41828994,15.05850566,18.24095566,14.89239938,3.8087588,4.746898452,9.646773316,25.00727249,22.1744337,21.91421646,7.510802993,8.685481661,8.285715603,8.992089911,10.57519353,12.35944284,6.855333263,7.122424742,6.755578234
375,32.23077808,32.5097177,33.30548004,15.14338315,18.29710958,14.52001504,4.068587267,4.798473759,9.985283335,24.31520994,21.39011368,21.52219358,7.568711615,8.595044928,8.214674791,9.058833211,10.71488579,12.42894824,6.874961544,7.038361163,6.919406981
380,28.92367711,29.3629305,29.9445429,15.32517484,18.57130798,15.04489911,4.306345366,5.096301596,10.08233346,22.98840886,20.12270071,20.38808243,7.700563407,8.378585293,8.067630209,9.340447602,11.0673679,12.55699521,6.908472293,7.203043696,6.899865442
385,26.02326853,26.37153005,26.77236393,15.83217747,19.03751361,15.58649793,5.079871161,5.362344194,10.76208922,21.51919387,18.66022006,19.02874459,7.49798049,8.344027494,7.862810588,9.619463191,11.31328895,12.71743556,6.799243892,7.147771849,6.900284974
390,23.18462105,23.61321024,23.9215285,17.01010609,20.18877461,17.1791812,6.411433175,6.312662893,11.75484134,19.90104502,16.91217811,17.51259166,7.710466393,8.433564362,8.034622779,10.20401221,11.90044233,12.99982005,6.824177943,7.139001411,6.935969189
395,20.84474764,21.39189252,21.52371365,18.81493431,21.97647568,19.18561189,8.737083076,7.764247173,13.35374726,18.0437942,15.19770821,15.65657333,7.729610267,8.232502538,7.854963363,11.13848085,12.78509514,13.61412309,6.821732999,7.076982184,6.846435354
400,19.21227171,19.58619154,20.03567929,21.50636971,24.8130735,22.54420935,12.00483296,10.06432071,16.0630735,16.10670379,13.43227171,14.17175947,7.499487751,8.001135857,7.768351893,12.56267261,14.2510245,14.51824053,6.745567929,7.202783964,6.98
405,17.56428571,17.55714286,17.94714286,26.46428571,29.68714286,27.65714286,16.08428571,13.20428571,21.66714286,15.06142857,12.27285714,12.89571429,7.392857143,7.738571429,7.541428571,14.10857143,15.83142857,16.11857143,6.424285714,7.015714286,6.75
410,15.90950893,16.11964286,16.73959821,31.67223214,35.26214286,33.00209821,21.80258929,16.90200893,27.87263393,13.84950893,11.38982143,11.85973214,7.140223214,7.280223214,7.270044643,15.96107143,18.18107143,18.41107143,6.440133929,6.860133929,6.699910714
415,14.59325893,14.85488839,15.04823661,36.47357143,40.19361607,38.0103125,28.97220982,22.12533482,34.52877232,12.50828125,10.37493304,10.77828125,7.535022321,7.45,7.395022321,19.096875,21.69859375,21.69691964,6.306651786,6.876651786,6.710044643
420,13.69577181,13.91288591,14.20234899,40.21583893,44.00610738,41.86268456,36.41221477,27.39087248,40.88194631,11.59604027,9.369194631,9.938657718,8.297651007,8.050536913,7.88738255,23.15087248,26.53087248,25.73060403,6.493691275,7.200268456,6.803154362
425,12.98272931,13.11610738,13.38402685,43.26713647,47.14116331,45.1864877,43.64076063,32.31829978,46.30765101,10.71740492,8.80935123,9.145324385,9.870514541,9.164541387,8.752595078,28.2049217,31.82557047,30.79427293,6.604026846,7.104675615,6.914675615
430,12.4332287,12.39264574,12.6932287,45.53179372,49.33502242,47.46121076,49.59829596,36.47798206,50.74210762,10.49,8.52529148,8.89264574,11.8503139,10.59295964,9.950896861,33.08681614,37.06300448,35.89887892,6.734125561,7.24941704,6.90206278
435,11.70282511,11.86188341,11.95376682,47.35293722,50.98293722,49.32576233,54.13352018,39.687287,54.0491704,10.1509417,8.221412556,8.63235426,13.90199552,12.18387892,11.18529148,37.71975336,41.99975336,40.58116592,6.631883408,7.320941704,7.08
440,11.43262921,11.29447191,11.59262921,48.49921348,52.21474157,50.58289888,57.53791011,42.17316854,56.49132584,9.825258427,7.93447191,8.315258427,15.64764045,13.56026966,12.23211236,41.4834382,45.7771236,44.39159551,6.75447191,7.318157303,7.118157303
445,11.00141573,11.0171236,11.16570787,49.18146067,52.8428764,51.24575281,59.44867416,43.68008989,57.83862921,9.292831461,7.668539326,7.847123596,16.70433708,14.38862921,12.93716854,44.07867416,48.35725843,46.96296629,6.73,7.432831461,7.107123596
450,10.83686937,10.83939189,10.98313063,49.55686937,53.07626126,51.62313063,60.89808559,44.93182432,58.66434685,8.876261261,7.219391892,7.489391892,17.26373874,14.96,13.26626126,45.63617117,50.01243243,48.6293018,6.954346847,7.541216216,7.294346847
455,10.8,10.86961625,10.95115124,49.75693002,53.17884876,51.83769752,61.67769752,45.70923251,58.9,8.710383747,7.100383747,7.380767494,17.26076749,14.98038375,13.35961625,46.71884876,51.00884876,49.79731377,6.931151242,7.600767494,7.39
460,10.70503386,10.63751693,10.82503386,49.78006772,53.07255079,51.75503386,62.14489842,46.20744921,58.84496614,8.74248307,7.21248307,7.42496614,16.93510158,14.81255079,13.27751693,47.50744921,51.65241535,50.49234763,6.92,7.61751693,7.4
465,10.41800905,10.39251131,10.50800905,49.34900452,52.69251131,51.3260181,62.32,46.39099548,58.46151584,9.100995475,7.435497738,7.665497738,16.26151584,14.40800905,12.93701357,47.89099548,52.03649321,50.95549774,6.985497738,7.650995475,7.364502262
