wl,UVS(380),UVS(460),LWS(520),LWS(580),LWS(600),LWS(620),LWS(640),LWS(660),LWS(680)
615,1.12833E-09,7.49278E-06,0.031031312,0.409560285,0.501382533,0.50339911,0.443500717,0.357214978,0.268903738
620,7.97265E-10,4.9224E-06,0.021893754,0.37308595,0.483128339,0.505566953,0.458558837,0.377872233,0.290162262
625,5.66475E-10,3.25539E-06,0.015207302,0.335192395,0.460032661,0.503253899,0.470879209,0.397296597,0.311309462
630,4.04683E-10,2.167E-06,0.010429754,0.297012464,0.432667921,0.496244315,0.480092809,0.415168778,0.332083646
635,2.90636E-10,1.45172E-06,0.007084131,0.259563989,0.401812286,0.484455134,0.485844596,0.431165194,0.352215242
640,2.09811E-10,9.7862E-07,0.00477877,0.223694887,0.36839524,0.467970241,0.487809799,0.444958777,0.371428892
645,1.52231E-10,6.63729E-07,0.003209617,0.190060816,0.333422717,0.447064382,0.485716582,0.45622127,0.389444672
650,1.11E-10,4.52851E-07,0.002150919,0.159130466,0.297895634,0.42220897,0.479374095,0.464628287,0.405978634
655,8.13269E-11,3.10777E-07,0.001440746,0.131207982,0.262736945,0.394054754,0.468703148,0.469868335,0.420743145
660,5.98678E-11,2.14494E-07,0.000965935,0.106460628,0.228738915,0.363391086,0.453764859,0.471656723,0.433447716
665,4.42744E-11,1.48868E-07,0.000648897,0.084942272,0.196535875,0.331087234,0.434781335,0.4697546,0.44380123
670,3.28903E-11,1.03884E-07,0.000437148,0.0666084,0.166600855,0.298025743,0.412142404,0.463992303,0.451516544
675,2.45412E-11,7.28809E-08,0.000295512,0.051324234,0.139259319,0.265039601,0.386394161,0.454294832,0.456318429
680,1.83905E-11,5.13971E-08,0.000200544,0.038871831,0.114710968,0.232863253,0.358208511,0.440705837,0.457955525
685,1.38395E-11,3.64315E-08,0.00013667,0.028962599,0.09305125,0.202103139,0.328337185,0.42340552,0.456216453
690,1.04577E-11,2.59526E-08,9.35545E-05,0.021258387,0.074287254,0.173228225,0.297557424,0.402717699,0.450949418
695,7.93425E-12,1.85781E-08,6.43346E-05,0.01539916,0.058346916,0.146576539,0.266618396,0.379102493,0.442083541
700,6.04347E-12,1.33628E-08,4.44481E-05,0.011031563,0.0450845,0.122371139,0.236196722,0.353133578,0.429649107
705,4.62109E-12,9.65656E-09,3.08538E-05,0.007832358,0.034287449,0.100738633,0.206866679,0.325462134,0.413793102
710,3.54686E-12,7.01025E-09,2.15188E-05,0.005523122,0.025688884,0.081724838,0.179086734,0.296772666,0.394786252
715,2.73243E-12,5.11199E-09,1.50791E-05,0.003875844,0.018986826,0.065305096,0.153200406,0.267737601,0.373018631
720,2.11266E-12,3.74413E-09,1.06161E-05,0.002711403,0.01386747,0.051389979,0.129446928,0.238977583,0.348982654
725,1.63927E-12,2.75408E-09,7.50879E-06,0.001893724,0.010027823,0.039829642,0.107976271,0.211032556,0.323244743
730,1.27638E-12,2.03437E-09,5.33539E-06,0.001322131,0.007193373,0.030420797,0.088863636,0.184345941,0.29640934
735,9.97214E-13,1.50894E-09,3.80826E-06,0.000923653,0.00512862,0.022918875,0.072120318,0.15926125,0.269080553
740,7.8171E-13,1.12375E-09,2.73038E-06,0.000646206,0.003640591,0.017055134,0.057700228,0.136028189,0.241827039
745,6.14783E-13,8.40199E-10,1.96618E-06,0.000453042,0.002577047,0.012556018,0.045503674,0.11481413,0.215154677
750,4.85053E-13,6.30638E-10,1.42199E-06,0.000318439,0.001821515,0.009160996,0.035381388,0.095716809,0.189489574
755,3.83902E-13,4.75147E-10,1.03279E-06,0.00022449,0.001287033,0.006635883,0.027141649,0.078775057,0.165171636
760,3.0478E-13,3.5933E-10,7.53247E-07,0.000158772,0.000909899,0.004780372,0.020561776,0.063976056,0.142456942
765,2.42697E-13,2.72738E-10,5.5162E-07,0.00011268,0.000644116,0.003430157,0.015403112,0.051259471,0.121525907
770,1.93832E-13,2.07755E-10,4.0559E-07,8.0256E-05,0.000456834,0.002455054,0.011426955,0.040520303,0.102493874
775,1.55256E-13,1.58812E-10,2.99398E-07,5.73735E-05,0.00032477,0.001754791,0.008408586,0.03161295,0.085421161
780,1.24711E-13,1.21818E-10,2.21867E-07,4.11694E-05,0.00023151,0.001253852,0.006147311,0.024358335,0.070320698
785,1.00456E-13,9.37576E-11,1.6504E-07,2.9654E-05,0.000165523,0.00089637,0.004471832,0.018554538,0.05716276
790,8.11398E-14,7.24004E-11,1.23227E-07,2.14408E-05,0.000118721,0.000641569,0.003241433,0.013989718,0.045877706
795,6.57142E-14,5.60902E-11,9.23454E-08,1.55614E-05,8.54354E-05,0.000459991,0.002344148,0.010455161,0.036358499
800,5.33616E-14,4.35932E-11,6.94523E-08,1.13369E-05,6.1693E-05,0.000330516,0.001693169,0.00775629,0.028464901
